Row Labels,Cropland,Horticulture,Improved pasture and forage crops,Mines quarries sand and gravel pits,Non-productive woodland,Outdoor recreation,Productive woodland,Swampmarsh or bog,Unimproved pasture and range land,Unproductive landrock,Urban built-up area,Water areas
Cropland,234099,634,57,1981,747,617,4803,1068,18916,,21373,
Horticulture,8,12,,,,1,,,,,2,
Improved pasture and forage crops,459,7,44133,59,131,43,359,74,1006,,477,2
Mines quarries sand and gravel pits,73,,2,716,64,90,153,3,226,,354,
Non-productive woodland,2398,9,10,51,1627,438,9851,87,2542,,2071,
Outdoor recreation,3,,,,,1482,,,5,,245,
Productive woodland,4245,12,32,112,409,589,18140,76,2084,,2751,
Swampmarsh or bog,2003,4,14,8,886,118,1458,3193,2956,,687,9
Unimproved pasture and range land,19794,72,108,188,3450,1177,24541,1723,17415,,7425,3
Unproductive landrock,14,,,,2,26,125,,,31,10,
Urban built-up area,4,,2,1,,,1,,,,19588,
Water areas,,,,,,,,,,,,19861
